,result,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,herald,heraldtime,ft,fttime,dmgtochampsperminute,wpm,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,earnedgpm,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15,side_Blue,side_Red
70,1.0,0.0,0.0,1.0,13.2924,0.23715415,0.086237873,0.32339202300000003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1631.232483,6.6403162060000005,2.845849802,1.9403521381200397,1.9834710745227073,0.658227848,0.345323741,1425.391304,6.618756737809469,4.549047790481427,0.4096298958253417,41.6960115,15891.0,15576.0,315.0,24396.0,24724.0,-328.0,20075.0,19464.0,611.0,373.0,335.0,38.0,606.0,559.0,47.0,1,0
71,0.0,1.0,1.0,0.0,13.2924,0.086237873,0.23715415,0.32339202300000003,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2154.200503,5.777937477999999,3.212360762,1.2935680920800265,1.3582464966840277,0.538461538,0.403100775,1115.797341,5.583902264145448,4.355012576669423,0.0862378728053351,37.64283148,15576.0,15891.0,-315.0,24724.0,24396.0,328.0,19464.0,20075.0,-611.0,335.0,373.0,-38.0,559.0,606.0,-47.0,0,1
82,1.0,1.0,1.0,0.0,1.697016667,0.226415094,0.17610062899999998,0.402515723,1.0,14.63305,-9999.0,-9999.0,-9999.0,-9999.0,1958.842767,5.660377358,2.8427672960000003,1.3584905660377358,1.4088050314465408,0.6176470589999999,0.4166666670000001,1354.842767,6.163522012578617,3.949685534591195,0.5031446540880503,40.60377358,15469.0,15535.0,-66.0,24069.0,24434.0,-365.0,18088.0,18158.0,-70.0,329.0,325.0,4.0,562.0,574.0,-12.0,1,0
83,0.0,0.0,0.0,1.0,1.697016667,0.17610062899999998,0.226415094,0.402515723,0.0,14.63305,-9999.0,-9999.0,-9999.0,-9999.0,1833.962264,5.433962264,2.616352201,1.4842767295597483,1.5849056603773586,0.671875,0.327731092,1153.257862,5.383647798742138,4.528301886792453,0.0,39.62264151,15535.0,15469.0,66.0,24434.0,24069.0,365.0,18158.0,18088.0,70.0,325.0,329.0,-4.0,574.0,562.0,12.0,0,1
94,1.0,0.0,0.0,1.0,2.8637333330000003,0.34666666700000004,0.106666667,0.453333333,0.0,11.17061667,-9999.0,-9999.0,-9999.0,-9999.0,1522.133333,4.2933333330000005,2.746666667,1.28,1.4133333333333333,0.666666667,0.345132743,1385.013333,6.32,4.506666666666667,0.3466666666666667,35.73333333,15087.0,16384.0,-1297.0,23898.0,24689.0,-791.0,19398.0,19207.0,191.0,318.0,356.0,-38.0,531.0,577.0,-46.0,1,0
95,0.0,1.0,1.0,0.0,2.8637333330000003,0.106666667,0.34666666700000004,0.453333333,1.0,11.17061667,-9999.0,-9999.0,-9999.0,-9999.0,1768.1066670000002,5.706666667,1.866666667,1.4133333333333333,1.4666666666666666,0.620689655,0.330097087,1200.133333,6.1066666666666665,4.293333333333333,0.21333333333333335,39.28,16384.0,15087.0,1297.0,24689.0,23898.0,791.0,19207.0,19398.0,-191.0,356.0,318.0,38.0,577.0,531.0,46.0,0,1
106,1.0,0.0,0.0,1.0,5.1751833330000006,0.315315315,0.09009009,0.405405405,-9999.0,-9999.0,-9999.0,-9999.0,0.0,14.79845,2293.671171,6.103603604,1.689189189,1.4189189189189189,1.4864864864864866,0.58490566,0.330827068,1336.851351,7.162162162162162,3.918918918918919,1.5315315315315317,38.33333333,15618.0,15436.0,182.0,24015.0,24114.0,-99.0,18984.0,18319.0,665.0,327.0,330.0,-3.0,543.0,524.0,19.0,1,0
107,0.0,1.0,1.0,0.0,5.1751833330000006,0.09009009,0.315315315,0.405405405,-9999.0,-9999.0,-9999.0,-9999.0,1.0,14.79845,1408.581081,4.189189189,2.342342342,1.1036036036036037,1.1711711711711712,0.523809524,0.267716535,1039.914414,4.166666666666667,3.355855855855856,0.0,36.12612613,15436.0,15618.0,-182.0,24114.0,24015.0,99.0,18319.0,18984.0,-665.0,330.0,327.0,3.0,524.0,543.0,-19.0,0,1
118,1.0,1.0,1.0,0.0,5.1842,0.410094637,0.189274448,0.599369085,1.0,12.78083333,1.0,14.29736667,-9999.0,-9999.0,2199.716088,4.700315457,2.208201893,1.0725552050473186,1.135646687697161,0.695652174,0.172413793,1436.51735,6.246056782334385,3.3438485804416405,1.5141955835962146,39.49526814,16105.0,14944.0,1161.0,24967.0,22873.0,2094.0,18675.0,17998.0,677.0,336.0,317.0,19.0,569.0,516.0,53.0,1,0
119,0.0,0.0,0.0,1.0,5.1842,0.189274448,0.410094637,0.599369085,0.0,12.78083333,0.0,14.29736667,-9999.0,-9999.0,1249.495268,5.173501577,1.924290221,1.2302839116719244,1.3564668769716088,0.513513514,0.231707317,1033.078864,4.100946372239748,2.965299684542587,0.12618296529968454,36.43533123,14944.0,16105.0,-1161.0,22873.0,24967.0,-2094.0,17998.0,18675.0,-677.0,317.0,336.0,-19.0,516.0,569.0,-53.0,0,1
